short_name,ticker,company_id,country,sector,sub_industry
AAYAN LEASING,AAYAN,AAYAN KK Equity,KW,Financials,Specialized Finance
ABDULLAH AL OTHA,4001,AOTHAIM AB Equity,SA,Consumer Staples,Consumer Staples Merchandise Retail
ABDULLAH SAAD MO,4191,ABOMOATI AB Equity,SA,Consumer Discretionary,Other Specialty Retail
ABRAJ ENERGY SER,ABRJ,ABRJ OM Equity,OM,Energy,Oil & Gas Drilling
ABU DHABI COMMER,ADCB,ADCB DH Equity,AE,Financials,Diversified Banks
ABU DHABI ISLAMI,ADIB,ADIB DH Equity,AE,Financials,Diversified Banks
ABU DHABI NAT HO,ADNH,ADNH DH Equity,AE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABU DHABI NATION,ADNOCDIST,ADNOCDIS DH Equity,AE,Consumer Discretionary,Automotive Retail
ABU DHABI PORTS,ADPORTS,ADPORTS DH Equity,AE,Industrials,Marine Ports & Services
ACWA POWER CO,2082,ACWA AB Equity,SA,Utilities,Independent Power Producers & Energy Traders
ADES HOLDING CO,2382,ADES AB Equity,SA,Energy,Oil & Gas Drilling
ADNH CATERING PL,ADNHC,ADNHC DH Equity,AE,Consumer Discretionary,Restaurants
ADNOC DRILLING C,ADNOCDRILL,ADNOCDRI DH Equity,AE,Energy,Oil & Gas Drilling
ADNOC GAS PLC,ADNOCGAS,ADNOCGAS DH Equity,AE,Energy,Oil & Gas Refining & Marketing
ADNOC LOGISTICS,ADNOCLS,ADNOCLS DH Equity,AE,Energy,Oil & Gas Storage & Transportation
ADVANCED PETROCH,2330,APPC AB Equity,SA,Materials,Commodity Chemicals
AGILITY,AGLTY,AGLTY KK Equity,KW,Industrials,Air Freight & Logistics
AGILITY GLOBAL P,AGILITY,AGILITY DH Equity,AE,Industrials,Air Freight & Logistics
AGTHIA GROUP PJS,AGTHIA,AGTHIA DH Equity,AE,Consumer Staples,Packaged Foods & Meats
AHLI BANK,ABOB,ABOB OM Equity,OM,Financials,Diversified Banks
AIR ARABIA PJSC,AIRARABIA,AIRARABI DB Equity,AE,Industrials,Passenger Airlines
AJMAN BANK PJSC,AJMANBANK,AJMANBAN DB Equity,AE,Financials,Diversified Banks
AL AHLI BANK KUW,ABK,ABK KK Equity,KW,Financials,Diversified Banks
AL ANSARI FINANC,ALANSARI,ALANSARI DB Equity,AE,Financials,Transaction & Payment Processing Services
AL ARABI GROUP H,AGHC,AGHC KK Equity,KW,Industrials,Industrial Conglomerates
AL BABTAIN POWER,2320,ALBABTAI AB Equity,SA,Industrials,Construction & Engineering
AL GASSIM INVEST,6020,GACO AB Equity,SA,Consumer Staples,Agricultural Products & Services
AL JOUF,6070,JADCO AB Equity,SA,Consumer Staples,Agricultural Products & Services
AL JOUF CEMENT,3091,JOUF AB Equity,SA,Materials,Construction Materials
AL KATHIRI HOLDI,3008,ALKATHIR AB Equity,SA,Materials,Construction Materials
AL KHALEEJ TAKAF,AKHI,AKHI QD Equity,QA,Financials,Property & Casualty Insurance
AL KHALEEJ TRAIN,4290,ALKHLEEJ AB Equity,SA,Consumer Discretionary,Education Services
AL MAATHER REIT,4334,MAATHER AB Equity,SA,Real Estate,Diversified REITs
AL MAJED FOR OUD,4165,ALMAJED AB Equity,SA,Consumer Discretionary,Other Specialty Retail
AL MASANE AL KOB,1322,AMAK AB Equity,SA,Materials,Diversified Metals & Mining
AL MEERA CONSUM,MERS,MERS QD Equity,QA,Consumer Staples,Consumer Staples Merchandise Retail
AL MOAMMAR INFOR,7200,MIS AB Equity,SA,Information Technology,IT Consulting & Other Services
AL RAJHI BANK,1120,RJHI AB Equity,SA,Financials,Diversified Banks
AL RAJHI REIT,4340,ALRAJHI AB Equity,SA,Real Estate,Diversified REITs
AL RAJHI TAKAFUL,8230,ARCCI AB Equity,SA,Financials,Multi-line Insurance
AL RAYAN BANK,MARK,MARK QD Equity,QA,Financials,Diversified Banks
AL SAGR CO-0PERA,8180,SAGR AB Equity,SA,Financials,Life & Health Insurance
AL SALAM BANK BS,SALAM,SALAM BI Equity,BH,Financials,Diversified Banks
AL SEER MARINE S,ASM,ASM DH Equity,AE,Industrials,Aerospace & Defense
AL TAISEER GROUP,4143,TALCO AB Equity,SA,Materials,Aluminum
AL YAMAMAH STEEL,1304,YAMAMAH AB Equity,SA,Materials,Steel
ALAHLI REIT FUND,4338,ALAHLI AB Equity,SA,Real Estate,Diversified REITs
ALAKARIA,4020,SRECO AB Equity,SA,Real Estate,Diversified Real Estate Activities
